Serial Number:	20725838 --

Date Time, GMT -0400	Temp, (*F)	Button Down	Button Up	Host Connect	Stopped	EOF	
2022-06-03 14:26:26	72.30	 	 	 	 	 	
2022-06-03 14:26:27	72.23	 	 	 	 	 	
2022-06-03 14:26:28	72.23	 	 	 	 	 	
2022-06-03 14:26:29	72.15	 	 	 	 	 	
2022-06-03 14:26:30	72.23	 	 	 	 	 	
2022-06-03 14:26:31	72.23	 	 	 	 	 	
2022-06-03 14:26:32	72.23	 	 	 	 	 	
2022-06-03 14:26:33	72.15	 	 	 	 	 	
2022-06-03 14:26:34	72.23	 	 	 	 	 	
2022-06-03 14:26:35	72.23	 	 	 	 	 	
2022-06-03 14:26:36	72.23	 	 	 	 	 	
2022-06-03 14:26:37	72.07	 	 	 	 	 	
2022-06-03 14:26:38	72.23	 	 	 	 	 	
2022-06-03 14:26:39	72.23	 	 	 	 	 	
2022-06-03 14:26:40	72.23	 	 	 	 	 	
2022-06-03 14:26:41	72.15	 	 	 	 	 	
2022-06-03 14:26:42	72.15	 	 	 	 	 	
2022-06-03 14:26:43	72.23	 	 	 	 	 	
2022-06-03 14:26:44	72.30	 	 	 	 	 	
2022-06-03 14:26:45	72.23	 	 	 	 	 	
2022-06-03 14:26:46	72.23	 	 	 	 	 	
2022-06-03 14:26:47	72.30	 	 	 	 	 	
2022-06-03 14:26:48	72.15	 	 	 	 	 	
2022-06-03 14:26:49	72.23	 	 	 	 	 	
2022-06-03 14:26:50	72.23	 	 	 	 	 	
2022-06-03 14:26:51	72.23	 	 	 	 	 	
2022-06-03 14:26:52	72.23	 	 	 	 	 	
2022-06-03 14:26:53	72.23	 	 	 	 	 	
2022-06-03 14:26:54	72.23	 	 	 	 	 	
2022-06-03 14:26:55	72.23	 	 	 	 	 	
2022-06-03 14:26:56	72.23	 	 	 	 	 	
2022-06-03 14:26:57	72.23	 	 	 	 	 	
2022-06-03 14:26:58	72.23	 	 	 	 	 	
2022-06-03 14:26:59	72.23	 	 	 	 	 	
2022-06-03 14:27:00	72.23	 	 	 	 	 	
2022-06-03 14:27:01	72.23	 	 	 	 	 	
2022-06-03 14:27:02	72.23	 	 	 	 	 	
2022-06-03 14:27:03	72.23	 	 	 	 	 	
2022-06-03 14:27:04	72.15	 	 	 	 	 	
2022-06-03 14:27:05	72.23	 	 	 	 	 	
2022-06-03 14:27:06	72.23	 	 	 	 	 	
2022-06-03 14:27:07	72.23	 	 	 	 	 	
2022-06-03 14:27:08	72.15	 	 	 	 	 	
2022-06-03 14:27:09	72.15	 	 	 	 	 	
2022-06-03 14:27:10	72.23	 	 	 	 	 	
2022-06-03 14:27:11	72.23	 	 	 	 	 	
2022-06-03 14:27:12	72.23	 	 	 	 	 	
2022-06-03 14:27:13	72.30	 	 	 	 	 	
2022-06-03 14:27:14	72.15	 	 	 	 	 	
2022-06-03 14:27:15	72.30	 	 	 	 	 	
2022-06-03 14:27:16	72.23	 	 	 	 	 	
2022-06-03 14:27:17	72.23	 	 	 	 	 	
2022-06-03 14:27:18	72.23	 	 	 	 	 	
2022-06-03 14:27:19	72.30	 	 	 	 	 	
2022-06-03 14:27:20	72.30	 	 	 	 	 	
2022-06-03 14:27:21	72.23	 	 	 	 	 	
2022-06-03 14:27:22	72.15	 	 	 	 	 	
2022-06-03 14:27:23	72.23	 	 	 	 	 	
2022-06-03 14:27:24	72.23	 	 	 	 	 	
2022-06-03 14:27:25	72.30	 	 	 	 	 	
2022-06-03 14:27:26	72.15	 	 	 	 	 	
2022-06-03 14:27:27	72.23	 	 	 	 	 	
2022-06-03 14:27:28	72.23	 	 	 	 	 	
2022-06-03 14:27:29	72.23	 	 	 	 	 	
2022-06-03 14:27:30	72.23	 	 	 	 	 	
2022-06-03 14:27:31	72.23	 	 	 	 	 	
2022-06-03 14:27:32	72.30	 	 	 	 	 	
2022-06-03 14:27:33	72.23	 	 	 	 	 	
2022-06-03 14:27:34	72.23	 	 	 	 	 	
2022-06-03 14:27:35	72.23	 	 	 	 	 	
2022-06-03 14:27:36	72.23	 	 	 	 	 	
2022-06-03 14:27:37	72.30	 	 	 	 	 	
2022-06-03 14:27:38	72.15	 	 	 	 	 	
2022-06-03 14:27:39	72.30	 	 	 	 	 	
2022-06-03 14:27:40	72.23	 	 	 	 	 	
2022-06-03 14:27:41	72.23	 	 	 	 	 	
2022-06-03 14:27:42	72.23	 	 	 	 	 	
2022-06-03 14:27:43	72.23	 	 	 	 	 	
2022-06-03 14:27:44	72.23	 	 	 	 	 	
2022-06-03 14:27:45	72.23	 	 	 	 	 	
2022-06-03 14:27:46	72.23	 	 	 	 	 	
2022-06-03 14:27:47	72.23	 	 	 	 	 	
2022-06-03 14:27:48	72.23	 	 	 	 	 	
2022-06-03 14:27:49	72.23	 	 	 	 	 	
2022-06-03 14:27:50	72.23	 	 	 	 	 	
2022-06-03 14:27:51	72.23	 	 	 	 	 	
2022-06-03 14:27:52	72.23	 	 	 	 	 	
2022-06-03 14:27:53	72.23	 	 	 	 	 	
2022-06-03 14:27:54	72.23	 	 	 	 	 	
2022-06-03 14:27:55	72.23	 	 	 	 	 	
2022-06-03 14:27:56	72.23	 	 	 	 	 	
2022-06-03 14:27:57	72.23	 	 	 	 	 	
2022-06-03 14:27:58	72.23	 	 	 	 	 	
2022-06-03 14:27:59	72.15	 	 	 	 	 	
2022-06-03 14:28:00	72.23	 	 	 	 	 	
2022-06-03 14:28:01	72.23	 	 	 	 	 	
2022-06-03 14:28:02	72.23	 	 	 	 	 	
2022-06-03 14:28:03	72.23	 	 	 	 	 	
2022-06-03 14:28:04	72.23	 	 	 	 	 	
2022-06-03 14:28:05	72.23	 	 	 	 	 	
2022-06-03 14:28:06	72.23	 	 	 	 	 	
2022-06-03 14:28:07	72.30	 	 	 	 	 	
2022-06-03 14:28:08	72.30	 	 	 	 	 	
2022-06-03 14:28:09	72.23	 	 	 	 	 	
2022-06-03 14:28:10	72.23	 	 	 	 	 	
2022-06-03 14:28:11	72.23	 	 	 	 	 	
2022-06-03 14:28:12	72.23	 	 	 	 	 	
2022-06-03 14:28:13	72.23	 	 	 	 	 	
2022-06-03 14:28:14	72.23	 	 	 	 	 	
2022-06-03 14:28:15	72.23	 	 	 	 	 	
2022-06-03 14:28:16	72.23	 	 	 	 	 	
2022-06-03 14:28:17	72.23	 	 	 	 	 	
2022-06-03 14:28:18	72.30	 	 	 	 	 	
2022-06-03 14:28:19	72.23	 	 	 	 	 	
2022-06-03 14:28:20	72.23	 	 	 	 	 	
2022-06-03 14:28:21	72.15	 	 	 	 	 	
2022-06-03 14:28:22	72.23	 	 	 	 	 	
2022-06-03 14:28:23	72.15	 	 	 	 	 	
2022-06-03 14:28:24	72.15	 	 	 	 	 	
