"","Unix Timestamp","UTC_Date_&_Time","Eastern Standard Time","Battery","Temperature","Dissolved Oxygen","Dissolved Oxygen Saturation","Q","DO_mgL","Date_Time"
"152","1654979160","2022-06-11 20:26:00","2022-06-11 16:26:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 16:26:00
"153","1654979760","2022-06-11 20:36:00","2022-06-11 16:36:00","3.210000","13.791000","0.058000","0.560209","0.948000",0.058,2022-06-11 16:36:00
"154","1654980360","2022-06-11 20:46:00","2022-06-11 16:46:00","3.210000","13.791000","0.057000","0.550551","0.947000",0.057,2022-06-11 16:46:00
"155","1654980960","2022-06-11 20:56:00","2022-06-11 16:56:00","3.210000","13.817000","0.057000","0.550866","0.947000",0.057,2022-06-11 16:56:00
"156","1654981560","2022-06-11 21:06:00","2022-06-11 17:06:00","3.210000","13.817000","0.056000","0.541202","0.947000",0.056,2022-06-11 17:06:00
"157","1654982160","2022-06-11 21:16:00","2022-06-11 17:16:00","3.210000","13.782000","0.056000","0.540784","0.947000",0.056,2022-06-11 17:16:00
"158","1654982760","2022-06-11 21:26:00","2022-06-11 17:26:00","3.210000","13.808000","0.058000","0.560419","0.947000",0.058,2022-06-11 17:26:00
"159","1654983360","2022-06-11 21:36:00","2022-06-11 17:36:00","3.210000","13.791000","0.056000","0.540892","0.947000",0.056,2022-06-11 17:36:00
"160","1654983960","2022-06-11 21:46:00","2022-06-11 17:46:00","3.210000","13.799000","0.058000","0.560308","0.948000",0.058,2022-06-11 17:46:00
"161","1654984560","2022-06-11 21:56:00","2022-06-11 17:56:00","3.210000","13.808000","0.056000","0.541094","0.947000",0.056,2022-06-11 17:56:00
"162","1654985160","2022-06-11 22:06:00","2022-06-11 18:06:00","3.210000","13.808000","0.057000","0.550757","0.948000",0.057,2022-06-11 18:06:00
"163","1654985760","2022-06-11 22:16:00","2022-06-11 18:16:00","3.210000","13.791000","0.057000","0.550551","0.947000",0.057,2022-06-11 18:16:00
"164","1654986360","2022-06-11 22:26:00","2022-06-11 18:26:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 18:26:00
"165","1654986960","2022-06-11 22:36:00","2022-06-11 18:36:00","3.210000","13.826000","0.058000","0.560642","0.948000",0.058,2022-06-11 18:36:00
"166","1654987560","2022-06-11 22:46:00","2022-06-11 18:46:00","3.210000","13.791000","0.056000","0.540892","0.947000",0.056,2022-06-11 18:46:00
"167","1654988160","2022-06-11 22:56:00","2022-06-11 18:56:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 18:56:00
"168","1654988760","2022-06-11 23:06:00","2022-06-11 19:06:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 19:06:00
"169","1654989360","2022-06-11 23:16:00","2022-06-11 19:16:00","3.210000","13.799000","0.057000","0.550648","0.947000",0.057,2022-06-11 19:16:00
"170","1654989960","2022-06-11 23:26:00","2022-06-11 19:26:00","3.210000","13.808000","0.057000","0.550757","0.947000",0.057,2022-06-11 19:26:00
"171","1654990560","2022-06-11 23:36:00","2022-06-11 19:36:00","3.210000","13.852000","0.055000","0.531947","0.947000",0.055,2022-06-11 19:36:00
"172","1654991160","2022-06-11 23:46:00","2022-06-11 19:46:00","3.210000","13.808000","0.056000","0.541094","0.947000",0.056,2022-06-11 19:46:00
